country,year,total_cases,new_cases
Rwanda,2005,2e+05,17000
Rwanda,2006,2e+05,14000
Rwanda,2007,2e+05,14000
Rwanda,2008,2e+05,14000
Rwanda,2009,2e+05,13000
Sudan,1990,20000,NA
Sudan,1991,27000,NA
Sudan,1992,35000,NA
Sudan,1993,44000,NA
Sudan,1994,52000,NA
Sudan,1995,60000,NA
Sudan,1996,66000,NA
Sudan,1997,70000,NA
Sudan,1998,72000,NA
Sudan,1999,72000,NA
Sudan,2000,70000,NA
Sudan,2001,69000,NA
Sudan,2002,67000,NA
Sudan,2003,65000,NA
Sudan,2004,63000,NA
Sudan,2005,62000,NA
Sudan,2006,62000,NA
Sudan,2007,62000,NA
Sudan,2008,63000,NA
Sudan,2009,65000,NA
Senegal,1990,5000,1400
Senegal,1991,5800,1700
Senegal,1992,6700,2100
Senegal,1993,7800,2400
Senegal,1994,9100,2800
Senegal,1995,11000,3200
Senegal,1996,12000,3600
Senegal,1997,14000,4000
Senegal,1998,16000,4400
Senegal,1999,19000,4800
Senegal,2000,21000,5100
Senegal,2001,24000,5500
Senegal,2002,27000,5800
Senegal,2003,30000,6100
Senegal,2004,32000,6000
Senegal,2005,35000,6100
Senegal,2006,38000,6200
Senegal,2007,41000,6300
Senegal,2008,43000,6500
Senegal,2009,46000,6000
Singapore,1990,600,NA
Singapore,1991,600,NA
Singapore,1992,1200,NA
Singapore,1993,1500,NA
Singapore,1994,1800,NA
Singapore,1995,2000,NA
Singapore,1996,2200,NA
Singapore,1997,2400,NA
Singapore,1998,2500,NA
Singapore,1999,2600,NA
Singapore,2000,2600,NA
Singapore,2001,2700,NA
Singapore,2002,2700,NA
Singapore,2003,2700,NA
Singapore,2004,2700,NA
Singapore,2005,2800,NA
Singapore,2006,2900,NA
Singapore,2007,3000,NA
Singapore,2008,3200,NA
Singapore,2009,3300,NA
Sierra Leone,1990,600,350
Sierra Leone,1991,1100,350
Sierra Leone,1992,1700,750
Sierra Leone,1993,2500,750
Sierra Leone,1994,3600,1300
Sierra Leone,1995,5000,1600
Sierra Leone,1996,6800,2100
Sierra Leone,1997,8900,2500
Sierra Leone,1998,11000,3000
Sierra Leone,1999,14000,3500
Sierra Leone,2000,18000,4000
Sierra Leone,2001,21000,4500
Sierra Leone,2002,25000,5000
Sierra Leone,2003,30000,5500
Sierra Leone,2004,34000,5800
Sierra Leone,2005,38000,6000
Sierra Leone,2006,41000,5900
Sierra Leone,2007,44000,5400
Sierra Leone,2008,45000,4500
Sierra Leone,2009,47000,4300
El Salvador,1990,3200,NA
El Salvador,1991,3900,NA
El Salvador,1992,4800,NA
El Salvador,1993,5700,NA
El Salvador,1994,6600,NA
El Salvador,1995,7500,NA
El Salvador,1996,8300,NA
El Salvador,1997,9000,NA
El Salvador,1998,9700,NA
El Salvador,1999,10000,NA
El Salvador,2000,11000,NA
El Salvador,2001,12000,NA
El Salvador,2002,12000,NA
El Salvador,2003,13000,NA
El Salvador,2004,14000,NA
El Salvador,2005,15000,NA
El Salvador,2006,16000,NA
El Salvador,2007,18000,NA
El Salvador,2008,19000,NA
El Salvador,2009,21000,NA
Somalia,1990,17000,NA
Somalia,1991,19000,NA
Somalia,1992,22000,NA
Somalia,1993,24000,NA
Somalia,1994,26000,NA
Somalia,1995,28000,NA
Somalia,1996,30000,NA
Somalia,1997,31000,NA
Somalia,1998,32000,NA
Somalia,1999,33000,NA
Somalia,2000,34000,NA
Somalia,2001,34000,NA
Somalia,2002,35000,NA
Somalia,2003,35000,NA
Somalia,2004,35000,NA
Somalia,2005,35000,NA
Somalia,2006,35000,NA
Somalia,2007,35000,NA
Somalia,2008,35000,NA
Somalia,2009,35000,NA
Serbia,1990,5200,NA
Serbia,1991,5100,NA
Serbia,1992,5000,NA
Serbia,1993,4800,NA
Serbia,1994,4600,NA
Serbia,1995,4300,NA
Serbia,1996,4000,NA
Serbia,1997,3700,NA
Serbia,1998,3500,NA
Serbia,1999,3300,NA
Serbia,2000,3200,NA
Serbia,2001,3100,NA
Serbia,2002,3000,NA
Serbia,2003,2900,NA
Serbia,2004,2900,NA
Serbia,2005,2900,NA
Serbia,2006,3000,NA
Serbia,2007,3100,NA
Serbia,2008,3200,NA
Serbia,2009,3400,NA
South Sudan,1990,NA,NA
South Sudan,1991,NA,NA
South Sudan,1992,NA,NA
South Sudan,1993,NA,NA
South Sudan,1994,NA,NA
South Sudan,1995,NA,NA
South Sudan,1996,NA,NA
South Sudan,1997,NA,NA
South Sudan,1998,NA,NA
South Sudan,1999,NA,NA
South Sudan,2000,NA,NA
South Sudan,2001,NA,NA
South Sudan,2002,NA,NA
South Sudan,2003,NA,NA
South Sudan,2004,NA,NA
South Sudan,2005,NA,NA
South Sudan,2006,NA,NA
South Sudan,2007,NA,NA
South Sudan,2008,NA,NA
South Sudan,2009,NA,NA
Sao Tome and Principe,1990,160,NA
Sao Tome and Principe,1991,160,NA
Sao Tome and Principe,1992,350,NA
Sao Tome and Principe,1993,350,NA
Sao Tome and Principe,1994,350,NA
Sao Tome and Principe,1995,350,NA
Sao Tome and Principe,1996,350,NA
Sao Tome and Principe,1997,350,NA
Sao Tome and Principe,1998,350,NA
Sao Tome and Principe,1999,600,NA
Sao Tome and Principe,2000,600,NA
Sao Tome and Principe,2001,600,NA
Sao Tome and Principe,2002,600,NA
Sao Tome and Principe,2003,600,NA
Sao Tome and Principe,2004,1000,NA
Sao Tome and Principe,2005,1000,NA
Sao Tome and Principe,2006,1000,NA
Sao Tome and Principe,2007,1000,NA
Sao Tome and Principe,2008,1000,NA
Sao Tome and Principe,2009,1000,NA
Suriname,1990,3500,1100
Suriname,1991,4600,1200
Suriname,1992,5700,1300
Suriname,1993,6700,1300
Suriname,1994,7500,1200
Suriname,1995,8200,1100
Suriname,1996,8600,750
Suriname,1997,8800,750
Suriname,1998,8800,750
Suriname,1999,8700,750
Suriname,2000,8400,350
Suriname,2001,7900,350
Suriname,2002,7400,350
Suriname,2003,6800,350
Suriname,2004,6300,350
Suriname,2005,5800,160
Suriname,2006,5300,160
Suriname,2007,4800,160
Suriname,2008,4400,60
Suriname,2009,4000,60
Slovak Republic,1990,60,NA
Slovak Republic,1991,60,NA
Slovak Republic,1992,60,NA
Slovak Republic,1993,60,NA
Slovak Republic,1994,60,NA
Slovak Republic,1995,60,NA
Slovak Republic,1996,60,NA
Slovak Republic,1997,60,NA
Slovak Republic,1998,160,NA
Slovak Republic,1999,160,NA
Slovak Republic,2000,160,NA
Slovak Republic,2001,160,NA
Slovak Republic,2002,160,NA
Slovak Republic,2003,160,NA
Slovak Republic,2004,350,NA
Slovak Republic,2005,350,NA
Slovak Republic,2006,350,NA
Slovak Republic,2007,350,NA
Slovak Republic,2008,350,NA
Slovak Republic,2009,350,NA
Slovenia,1990,60,NA
Slovenia,1991,60,NA
Slovenia,1992,60,NA
Slovenia,1993,60,NA
Slovenia,1994,60,NA
Slovenia,1995,60,NA
Slovenia,1996,160,NA
Slovenia,1997,160,NA
Slovenia,1998,160,NA
Slovenia,1999,160,NA
Slovenia,2000,350,NA
Slovenia,2001,350,NA
Slovenia,2002,350,NA
Slovenia,2003,350,NA
Slovenia,2004,350,NA
Slovenia,2005,350,NA
Slovenia,2006,350,NA
Slovenia,2007,350,NA
Slovenia,2008,350,NA
Slovenia,2009,600,NA
Sweden,1990,3100,NA
Sweden,1991,3800,NA
Sweden,1992,4400,NA
Sweden,1993,4900,NA
Sweden,1994,5300,NA
Sweden,1995,5600,NA
Sweden,1996,5900,NA
Sweden,1997,6100,NA
Sweden,1998,6300,NA
Sweden,1999,6500,NA
Sweden,2000,6700,NA
Sweden,2001,6900,NA
Sweden,2002,7200,NA
Sweden,2003,7400,NA
Sweden,2004,7600,NA
Sweden,2005,7800,NA
Sweden,2006,8000,NA
Sweden,2007,8200,NA
Sweden,2008,8400,NA
Sweden,2009,8600,NA
Eswatini,1990,12000,4000
Eswatini,1991,17000,5300
Eswatini,1992,22000,6900
Eswatini,1993,30000,8700
Eswatini,1994,39000,11000
Eswatini,1995,49000,13000
Eswatini,1996,61000,15000
Eswatini,1997,75000,17000
Eswatini,1998,88000,18000
Eswatini,1999,1e+05,19000
Eswatini,2000,110000,19000
Eswatini,2001,120000,19000
Eswatini,2002,130000,19000
Eswatini,2003,140000,19000
Eswatini,2004,150000,18000
Eswatini,2005,160000,18000
Eswatini,2006,160000,17000
Eswatini,2007,170000,16000
Eswatini,2008,170000,16000
Eswatini,2009,180000,15000
Chad,1990,71000,NA
Chad,1991,82000,NA
Chad,1992,93000,NA
Chad,1993,1e+05,NA
Chad,1994,110000,NA
Chad,1995,130000,NA
Chad,1996,140000,NA
Chad,1997,140000,NA
Chad,1998,150000,NA
Chad,1999,160000,NA
Chad,2000,170000,NA
Chad,2001,170000,NA
Chad,2002,180000,NA
Chad,2003,180000,NA
Chad,2004,190000,NA
Chad,2005,190000,NA
Chad,2006,190000,NA
Chad,2007,2e+05,NA
Chad,2008,2e+05,NA
Chad,2009,2e+05,NA
Togo,1990,34000,4100
Togo,1991,40000,5900
Togo,1992,46000,8100
Togo,1993,52000,10000
Togo,1994,60000,12000
Togo,1995,68000,13000
Togo,1996,77000,14000
Togo,1997,87000,14000
Togo,1998,97000,13000
Togo,1999,110000,13000
Togo,2000,120000,12000
Togo,2001,120000,12000
Togo,2002,130000,11000
Togo,2003,140000,11000
Togo,2004,140000,11000
Togo,2005,140000,11000
Togo,2006,150000,11000
Togo,2007,150000,11000
Togo,2008,150000,11000
Togo,2009,150000,10000
Thailand,1990,3e+05,140000
Thailand,1991,440000,150000
Thailand,1992,550000,120000
Thailand,1993,630000,90000
Thailand,1994,680000,64000
Thailand,1995,7e+05,49000
Thailand,1996,710000,41000
Thailand,1997,710000,34000
Thailand,1998,690000,24000
Thailand,1999,680000,16000
Thailand,2000,650000,14000
Thailand,2001,630000,20000
Thailand,2002,610000,32000
Thailand,2003,590000,38000
Thailand,2004,570000,36000
Thailand,2005,560000,30000
Thailand,2006,550000,24000
Thailand,2007,540000,19000
Thailand,2008,530000,15000
Thailand,2009,520000,13000
Tajikistan,1990,600,160
Tajikistan,1991,600,160
Tajikistan,1992,600,350
Tajikistan,1993,1000,350
Tajikistan,1994,1300,350
Tajikistan,1995,1600,350
Tajikistan,1996,2100,750
Tajikistan,1997,2700,750
Tajikistan,1998,3400,750
Tajikistan,1999,4100,750
Tajikistan,2000,4800,1000
Tajikistan,2001,5400,1000
Tajikistan,2002,6000,1000
Tajikistan,2003,6500,1000
Tajikistan,2004,7000,1000
Tajikistan,2005,7400,1100
Tajikistan,2006,7800,1100
Tajikistan,2007,8200,1100
Tajikistan,2008,8700,1200
Tajikistan,2009,9200,1300
Trinidad and Tobago,1990,1500,750
Trinidad and Tobago,1991,2100,750
Trinidad and Tobago,1992,2900,750
Trinidad and Tobago,1993,3800,1100
Trinidad and Tobago,1994,4900,1200
Trinidad and Tobago,1995,6000,1300
Trinidad and Tobago,1996,7100,1400
Trinidad and Tobago,1997,8100,1500
Trinidad and Tobago,1998,9100,1400
Trinidad and Tobago,1999,9900,1400
Trinidad and Tobago,2000,11000,1300
Trinidad and Tobago,2001,11000,1200
Trinidad and Tobago,2002,11000,1100
Trinidad and Tobago,2003,12000,1100
Trinidad and Tobago,2004,12000,1100
Trinidad and Tobago,2005,12000,1000
Trinidad and Tobago,2006,13000,750
Trinidad and Tobago,2007,13000,750
Trinidad and Tobago,2008,13000,750
Trinidad and Tobago,2009,13000,750
Tunisia,1990,60,NA
Tunisia,1991,60,NA
Tunisia,1992,60,NA
Tunisia,1993,160,NA
Tunisia,1994,160,NA
Tunisia,1995,350,NA
Tunisia,1996,350,NA
Tunisia,1997,350,NA
Tunisia,1998,350,NA
Tunisia,1999,350,NA
Tunisia,2000,600,NA
Tunisia,2001,600,NA
Tunisia,2002,600,NA
Tunisia,2003,600,NA
Tunisia,2004,600,NA
Tunisia,2005,600,NA
Tunisia,2006,1000,NA
Tunisia,2007,1100,NA
Tunisia,2008,1300,NA
Tunisia,2009,1400,NA
Turkey,1990,160,NA
Turkey,1991,350,NA
Turkey,1992,350,NA
Turkey,1993,350,NA
Turkey,1994,350,NA
Turkey,1995,600,NA
Turkey,1996,600,NA
Turkey,1997,600,NA
Turkey,1998,1100,NA
Turkey,1999,1300,NA
Turkey,2000,1500,NA
Turkey,2001,1800,NA
Turkey,2002,2100,NA
Turkey,2003,2400,NA
Turkey,2004,2700,NA
Turkey,2005,3100,NA
Turkey,2006,3400,NA
Turkey,2007,3800,NA
Turkey,2008,4200,NA
Turkey,2009,4600,NA
Tanzania,1990,660000,180000
Tanzania,1991,820000,2e+05
Tanzania,1992,980000,2e+05
Tanzania,1993,1100000,2e+05
Tanzania,1994,1200000,190000
Tanzania,1995,1300000,170000
Tanzania,1996,1400000,160000
Tanzania,1997,1400000,150000
Tanzania,1998,1400000,140000
Tanzania,1999,1500000,140000
Tanzania,2000,1500000,140000
Tanzania,2001,1400000,140000
Tanzania,2002,1400000,140000
Tanzania,2003,1400000,140000
Tanzania,2004,1400000,140000
Tanzania,2005,1400000,140000
Tanzania,2006,1400000,140000
Tanzania,2007,1400000,140000
Tanzania,2008,1400000,140000
Tanzania,2009,1500000,140000
Uganda,1990,1200000,130000
Uganda,1991,1200000,120000
Uganda,1992,1200000,110000
Uganda,1993,1200000,110000
Uganda,1994,1200000,98000
Uganda,1995,1200000,92000
Uganda,1996,1100000,88000
Uganda,1997,1100000,87000
Uganda,1998,1100000,87000
Uganda,1999,1e+06,89000
Uganda,2000,1e+06,94000
Uganda,2001,990000,99000
Uganda,2002,980000,1e+05
Uganda,2003,990000,110000
Uganda,2004,1e+06,120000
Uganda,2005,1e+06,120000
Uganda,2006,1100000,130000
Uganda,2007,1100000,140000
Uganda,2008,1200000,150000
Uganda,2009,1300000,150000
Ukraine,1990,350,NA
Ukraine,1991,1400,NA
Ukraine,1992,3900,NA
Ukraine,1993,8900,NA
Ukraine,1994,18000,NA
Ukraine,1995,34000,NA
Ukraine,1996,63000,NA
Ukraine,1997,110000,NA
Ukraine,1998,160000,NA
Ukraine,1999,2e+05,NA
Ukraine,2000,230000,NA
Ukraine,2001,250000,NA
Ukraine,2002,260000,NA
Ukraine,2003,280000,NA
Ukraine,2004,290000,NA
Ukraine,2005,3e+05,NA
Ukraine,2006,310000,NA
Ukraine,2007,320000,NA
Ukraine,2008,3e+05,NA
Ukraine,2009,280000,NA
Uruguay,1990,1800,NA
Uruguay,1991,2400,NA
Uruguay,1992,3200,NA
Uruguay,1993,4200,NA
Uruguay,1994,5200,NA
Uruguay,1995,6300,NA
Uruguay,1996,7400,NA
Uruguay,1997,8500,NA
Uruguay,1998,9400,NA
Uruguay,1999,10000,NA
Uruguay,2000,11000,NA
Uruguay,2001,11000,NA
Uruguay,2002,11000,NA
Uruguay,2003,11000,NA
Uruguay,2004,12000,NA
Uruguay,2005,12000,NA
Uruguay,2006,12000,NA
Uruguay,2007,12000,NA
Uruguay,2008,12000,NA
Uruguay,2009,12000,NA
United States,1990,810000,88000
United States,1991,830000,52000
United States,1992,830000,50000
United States,1993,840000,52000
United States,1994,830000,49000
United States,1995,830000,51000
United States,1996,840000,66000
United States,1997,870000,68000
United States,1998,910000,67000
United States,1999,950000,60000
United States,2000,980000,52000
United States,2001,1e+06,48000
United States,2002,1e+06,48000
United States,2003,1100000,49000
United States,2004,1100000,49000
United States,2005,1100000,49000
United States,2006,1200000,49000
United States,2007,1200000,49000
United States,2008,1200000,49000
United States,2009,1300000,49000
Venezuela,1990,21000,NA
Venezuela,1991,24000,NA
Venezuela,1992,27000,NA
Venezuela,1993,31000,NA
Venezuela,1994,34000,NA
Venezuela,1995,37000,NA
Venezuela,1996,41000,NA
Venezuela,1997,44000,NA
Venezuela,1998,48000,NA
Venezuela,1999,51000,NA
Venezuela,2000,54000,NA
Venezuela,2001,58000,NA
Venezuela,2002,61000,NA
Venezuela,2003,65000,NA
Venezuela,2004,69000,NA
Venezuela,2005,74000,NA
Venezuela,2006,78000,NA
Venezuela,2007,82000,NA
Venezuela,2008,86000,NA
Venezuela,2009,91000,NA
Vietnam,1990,60,NA
Vietnam,1991,350,NA
Vietnam,1992,600,NA
Vietnam,1993,1000,NA
Vietnam,1994,1900,NA
Vietnam,1995,3500,NA
Vietnam,1996,6900,NA
Vietnam,1997,13000,NA
Vietnam,1998,30000,NA
Vietnam,1999,58000,NA
Vietnam,2000,84000,NA
Vietnam,2001,110000,NA
Vietnam,2002,130000,NA
Vietnam,2003,160000,NA
Vietnam,2004,180000,NA
Vietnam,2005,190000,NA
Vietnam,2006,210000,NA
Vietnam,2007,220000,NA
Vietnam,2008,230000,NA
Vietnam,2009,230000,NA
Yemen,1990,350,NA
Yemen,1991,600,NA
Yemen,1992,600,NA
Yemen,1993,1100,NA
Yemen,1994,1500,NA
Yemen,1995,2100,NA
Yemen,1996,2800,NA
Yemen,1997,3700,NA
Yemen,1998,4900,NA
Yemen,1999,6500,NA
Yemen,2000,8500,NA
Yemen,2001,10000,NA
Yemen,2002,12000,NA
Yemen,2003,14000,NA
Yemen,2004,15000,NA
Yemen,2005,16000,NA
Yemen,2006,17000,NA
Yemen,2007,18000,NA
Yemen,2008,19000,NA
Yemen,2009,20000,NA
South Africa,1990,1e+05,44000
South Africa,1991,170000,73000
South Africa,1992,290000,120000
South Africa,1993,470000,190000
South Africa,1994,750000,3e+05
South Africa,1995,1200000,430000
South Africa,1996,1700000,570000
South Africa,1997,2300000,680000
South Africa,1998,2900000,720000
South Africa,1999,3500000,710000
South Africa,2000,4e+06,660000
South Africa,2001,4400000,610000
South Africa,2002,4700000,560000
South Africa,2003,4900000,520000
South Africa,2004,5e+06,5e+05
South Africa,2005,5200000,480000
South Africa,2006,5200000,470000
South Africa,2007,5300000,460000
South Africa,2008,5400000,450000
South Africa,2009,5400000,430000
Zambia,1990,560000,85000
Zambia,1991,610000,87000
Zambia,1992,650000,87000
Zambia,1993,680000,86000
Zambia,1994,7e+05,85000
Zambia,1995,730000,84000
Zambia,1996,750000,84000
Zambia,1997,770000,85000
Zambia,1998,790000,86000
Zambia,1999,820000,88000
Zambia,2000,840000,90000
Zambia,2001,860000,92000
Zambia,2002,880000,94000
Zambia,2003,9e+05,96000
Zambia,2004,910000,96000
Zambia,2005,920000,93000
Zambia,2006,920000,88000
Zambia,2007,930000,81000
Zambia,2008,940000,72000
Zambia,2009,950000,76000
Zimbabwe,1990,720000,180000
Zimbabwe,1991,880000,2e+05
Zimbabwe,1992,1e+06,210000
Zimbabwe,1993,1200000,240000
Zimbabwe,1994,1400000,260000
Zimbabwe,1995,1600000,250000
Zimbabwe,1996,1700000,240000
Zimbabwe,1997,1800000,230000
Zimbabwe,1998,1900000,220000
Zimbabwe,1999,1900000,190000
Zimbabwe,2000,1900000,160000
Zimbabwe,2001,1800000,140000
Zimbabwe,2002,1700000,130000
Zimbabwe,2003,1700000,110000
Zimbabwe,2004,1600000,110000
Zimbabwe,2005,1500000,110000
Zimbabwe,2006,1400000,1e+05
Zimbabwe,2007,1300000,1e+05
Zimbabwe,2008,1300000,1e+05
Zimbabwe,2009,1200000,95000
